model,intervention,image_identifier,cosine_stability
resnet50,patch_shuffle,2095,0.6792480945587158
resnet50,patch_shuffle,7262,0.7518336772918701
resnet50,patch_shuffle,5694,0.8055142760276794
resnet50,patch_shuffle,7413,0.5929926633834839
resnet50,patch_shuffle,6805,0.6293309330940247
resnet50,patch_shuffle,3446,0.801350474357605
resnet50,patch_shuffle,2807,0.7710313200950623
resnet50,patch_shuffle,7940,0.6607791781425476
resnet50,patch_shuffle,4172,0.6991223692893982
resnet50,patch_shuffle,7744,0.6206653714179993
resnet50,patch_shuffle,1586,0.7086054682731628
resnet50,patch_shuffle,7999,0.6303960680961609
resnet50,patch_shuffle,6349,0.745048463344574
resnet50,patch_shuffle,6594,0.766633152961731
resnet50,patch_shuffle,2109,0.7308476567268372
resnet50,patch_shuffle,3079,0.6765991449356079
resnet50,patch_shuffle,2070,0.8216205835342407
resnet50,patch_shuffle,319,0.7093172073364258
resnet50,patch_shuffle,2888,0.7043668031692505
resnet50,patch_shuffle,6224,0.8022341132164001
resnet50,patch_shuffle,3353,0.8751786947250366
resnet50,patch_shuffle,6244,0.6059720516204834
